Raw_Category,Standard_Category
Lipids,Lipids and lipid-like molecules
Lipids and lipid-like molecules,Lipids and lipid-like molecules
Lipids | Lipids and lipid-like molecules,Lipids and lipid-like molecules
Lipids | Organic nitrogen compounds,Lipids and lipid-like molecules
Lipids | Organic acids and derivatives,Lipids and lipid-like molecules
Endocannabinoids,Lipids and lipid-like molecules
Amino acid,Organic acids and derivatives
amino acid,Organic acids and derivatives
carboxylic acid,Organic acids and derivatives
Organic acids and derivatives,Organic acids and derivatives
Organic acids and derivatives | amino acid,Organic acids and derivatives
Amino acid | Organic acids and derivatives,Organic acids and derivatives
Amino acid | Organoheterocyclic compounds,Organic acids and derivatives
Amino acid | Benzenoids,Organic acids and derivatives
Amino acid | Organic nitrogen compounds,Organic acids and derivatives
carbohydrate,Organic oxygen compounds
organooxygen compound,Organooxygen compounds
organooxygen compounds,Organooxygen compounds
Organic oxygen compounds,Organic oxygen compounds
Organic oxygen compounds | organooxygen compound,Organic oxygen compounds
organic hydroxy compound,Organic oxygen compounds
organic heterocyclic compound,Organoheterocyclic compounds
organoheterocyclic compounds,Organoheterocyclic compounds
Nucleic acids,"Nucleosides, nucleotides, and analogues"
nucleic acids,"Nucleosides, nucleotides, and analogues"
"Nucleosides, nucleotides, and analogues","Nucleosides, nucleotides, and analogues"
"Nucleic acids | Nucleosides, nucleotides, and analogues","Nucleosides, nucleotides, and analogues"
Benzenoids,Benzenoids
Benzenoids | Hormones and transmitters,Benzenoids
Hormones and transmitters,Hormones and transmitters
Hormones and transmitters | Organic nitrogen compounds,Hormones and transmitters
Hormones and transmitters | Organoheterocyclic compounds,Hormones and transmitters
Organic nitrogen compounds,Organic nitrogen compounds
Phenylpropanoids and polyketides,Phenylpropanoids and polyketides
Alkaloids and derivatives,Alkaloids and derivatives
Homogeneous non-metal compounds,Homogeneous non-metal compounds
Homogeneous metal compounds,Homogeneous metal compounds
Mixed metal/non-metal compounds,Mixed metal/non-metal compounds
Inorganic compounds,Inorganic compounds
Organic compounds,Organic compounds
Trichlorophenols,Trichlorophenols
